rolling_window,feature_group,evaluation,test_season,rows,accuracy,log_loss,brier_score
expanding,all,walk_forward,all,1615,0.5826625386996904,0.6705147401174666,0.23842306223334583
expanding,all,fixed_holdout,all,544,0.5955882352941176,0.6630071061128735,0.2354639824902552
expanding,all_neutral_pace,walk_forward,all,1615,0.5839009287925696,0.6706266851895936,0.23846717424089775
expanding,all_neutral_pace,fixed_holdout,all,544,0.5955882352941176,0.663096461919746,0.23550723741639892
expanding,epa,walk_forward,all,1615,0.5795665634674922,0.6686639237224554,0.23810399945020344
expanding,epa,fixed_holdout,all,544,0.5955882352941176,0.6629022093635789,0.2354098801043852
expanding,epa_neutral_pace,walk_forward,all,1615,0.5820433436532507,0.6687789669741965,0.23815926505518958
expanding,epa_neutral_pace,fixed_holdout,all,544,0.5992647058823529,0.6630794908961308,0.23549630374520844
expanding,epa_pace,walk_forward,all,1615,0.5820433436532507,0.6688895030257215,0.23820655703426236
expanding,epa_pace,fixed_holdout,all,544,0.5955882352941176,0.6629589179956126,0.2354400086585906
expanding,epa_rest,walk_forward,all,1615,0.5820433436532507,0.6702670924481434,0.23831473992764324
expanding,epa_rest,fixed_holdout,all,544,0.5955882352941176,0.6629492345505725,0.23543338620995993
expanding,epa_rest_neutral_pace,walk_forward,all,1615,0.5839009287925696,0.6703957402024453,0.23836696041318448
expanding,epa_rest_neutral_pace,fixed_holdout,all,544,0.5974264705882353,0.6631221858396202,0.23551746183125158
expanding,pace,walk_forward,all,1615,0.5386996904024768,0.6891935600757152,0.24802517724653747
expanding,pace,fixed_holdout,all,544,0.5404411764705882,0.6858208107969632,0.2463566922631675
expanding,rest,walk_forward,all,1615,0.5325077399380805,0.6934934657432078,0.2496481427295024
expanding,rest,fixed_holdout,all,544,0.5349264705882353,0.6908824691058167,0.24886778904999687
3,all,walk_forward,all,1615,0.5962848297213622,0.6610939583675819,0.23436756844781012
3,all,fixed_holdout,all,544,0.6305147058823529,0.6427821391566305,0.22610243612708403
3,all_neutral_pace,walk_forward,all,1615,0.5969040247678019,0.661378491357838,0.23449438271543802
3,all_neutral_pace,fixed_holdout,all,544,0.6305147058823529,0.6427313979963242,0.22607757890623262
3,epa,walk_forward,all,1615,0.5969040247678019,0.6597490457688349,0.23385148096026878
3,epa,fixed_holdout,all,544,0.6194852941176471,0.6433321814941961,0.2263249879459479
3,epa_neutral_pace,walk_forward,all,1615,0.5969040247678019,0.6600513669022404,0.23398692836048027
3,epa_neutral_pace,fixed_holdout,all,544,0.6268382352941176,0.6430163422878687,0.22617178368132856
3,epa_pace,walk_forward,all,1615,0.5975232198142415,0.6601725981077157,0.23406269833829257
