method,evaluation,bin,bin_lower,bin_upper,count,mean_probability,outcome_rate,absolute_gap
raw,walk_forward,1,0.1,0.2,9,0.17052929021482763,0.3333333333333333,0.1628040431185057
raw,walk_forward,2,0.2,0.3,77,0.26142557950484024,0.2727272727272727,0.011301693222432463
raw,walk_forward,3,0.3,0.4,236,0.3551120382034612,0.326271186440678,0.028840851762783226
raw,walk_forward,4,0.4,0.5,303,0.4532320607400038,0.46534653465346537,0.012114473913461599
raw,walk_forward,5,0.5,0.6,351,0.551240888106098,0.49572649572649574,0.055514392379602207
raw,walk_forward,6,0.6,0.7,367,0.6498002969452719,0.6457765667574932,0.004023730187778685
raw,walk_forward,7,0.7,0.8,206,0.7455833634605157,0.7378640776699029,0.007719285790612762
raw,walk_forward,8,0.8,0.9,61,0.8290834914165686,0.819672131147541,0.009411360269027558
raw,walk_forward,9,0.9,1.0,5,0.9060036924908795,1.0,0.09399630750912047
raw,fixed_holdout,1,0.1,0.2,1,0.16524778309925053,1.0,0.8347522169007495
raw,fixed_holdout,2,0.2,0.3,27,0.2610295114733172,0.2222222222222222,0.038807289251095
raw,fixed_holdout,3,0.3,0.4,82,0.3551651482839835,0.34146341463414637,0.013701733649837122
raw,fixed_holdout,4,0.4,0.5,107,0.45221035563031625,0.42990654205607476,0.022303813574241493
raw,fixed_holdout,5,0.5,0.6,117,0.5514332821600066,0.5384615384615384,0.012971743698468208
raw,fixed_holdout,6,0.6,0.7,120,0.6489724464802834,0.6166666666666667,0.03230577981361671
raw,fixed_holdout,7,0.7,0.8,69,0.7452395000007216,0.8115942028985508,0.06635470289782919
raw,fixed_holdout,8,0.8,0.9,19,0.8379303444303848,0.7894736842105263,0.048456660219858505
raw,fixed_holdout,9,0.9,1.0,2,0.9116314425677035,1.0,0.08836855743229655
sigmoid,walk_forward,1,0.1,0.2,29,0.16774666698072258,0.3103448275862069,0.14259816060548433
sigmoid,walk_forward,2,0.2,0.3,110,0.26132911251589414,0.2818181818181818,0.020489069302287666
sigmoid,walk_forward,3,0.3,0.4,210,0.3523010204153496,0.36666666666666664,0.014365646251317032
sigmoid,walk_forward,4,0.4,0.5,341,0.4502990940184494,0.41642228739002934,0.033876806628420075
sigmoid,walk_forward,5,0.5,0.6,365,0.5489927422990503,0.5753424657534246,0.026349723454374363
sigmoid,walk_forward,6,0.6,0.7,321,0.6464587823730498,0.6417445482866043,0.004714234086445446
sigmoid,walk_forward,7,0.7,0.8,187,0.7433045969975587,0.7433155080213903,1.0911023831661204e-05
sigmoid,walk_forward,8,0.8,0.9,47,0.8297149392527621,0.8723404255319149,0.04262548627915286
sigmoid,walk_forward,9,0.9,1.0,5,0.9144016447766401,1.0,0.0855983552233599
sigmoid,fixed_holdout,2,0.2,0.3,8,0.2761363802837653,0.125,0.1511363802837653
sigmoid,fixed_holdout,3,0.3,0.4,54,0.35994183587121725,0.37037037037037035,0.010428534499153097
sigmoid,fixed_holdout,4,0.4,0.5,131,0.4525341520682154,0.35877862595419846,0.09375552611401694
sigmoid,fixed_holdout,5,0.5,0.6,144,0.551217396592288,0.5416666666666666,0.009550729925621337
sigmoid,fixed_holdout,6,0.6,0.7,137,0.6448902248530738,0.635036496350365,0.009853728502708825
sigmoid,fixed_holdout,7,0.7,0.8,61,0.7385728259683245,0.8032786885245902,0.06470586255626565
sigmoid,fixed_holdout,8,0.8,0.9,9,0.8395216418399724,1.0,0.16047835816002765
isotonic,walk_forward,0,0.0,0.1,38,0.032295083928396105,0.3157894736842105,0.2834943897558144
isotonic,walk_forward,1,0.1,0.2,15,0.1626799064167049,0.2,0.037320093583295105
isotonic,walk_forward,2,0.2,0.3,63,0.2321517928551717,0.3492063492063492,0.11705455635117748
isotonic,walk_forward,3,0.3,0.4,243,0.3417387943855639,0.37448559670781895,0.03274680232225502
isotonic,walk_forward,4,0.4,0.5,323,0.43648815226664067,0.43343653250773995,0.0030516197589007255
isotonic,walk_forward,5,0.5,0.6,416,0.5418497503373184,0.5408653846153846,0.000984365721933833
isotonic,walk_forward,6,0.6,0.7,177,0.6549786814453596,0.672316384180791,0.017337702735431337
isotonic,walk_forward,7,0.7,0.8,234,0.72945975492765,0.6837606837606838,0.045699071166966254
isotonic,walk_forward,8,0.8,0.9,41,0.887249318356887,0.7560975609756098,0.13115175738127727
isotonic,walk_forward,9,0.9,1.0,65,0.9571172661335512,0.8769230769230769,0.08019418921047428
isotonic,fixed_holdout,2,0.2,0.3,18,0.2276262283042495,0.16666666666666666,0.06095956163758284
isotonic,fixed_holdout,3,0.3,0.4,90,0.3407809464436088,0.35555555555555557,0.01477460911194678
isotonic,fixed_holdout,4,0.4,0.5,34,0.4375,0.4117647058823529,0.02573529411764708
isotonic,fixed_holdout,5,0.5,0.6,203,0.5315239812866529,0.4975369458128079,0.03398703547384502
isotonic,fixed_holdout,6,0.6,0.7,70,0.6785714285714286,0.6,0.07857142857142863
isotonic,fixed_holdout,7,0.7,0.8,108,0.709419310798728,0.75,0.040580689201272
isotonic,fixed_holdout,8,0.8,0.9,5,0.8,0.6,0.20000000000000007
isotonic,fixed_holdout,9,0.9,1.0,16,0.999999,0.9375,0.06249899999999997
