method,evaluation,test_season,rows,accuracy,log_loss,brier_score,expected_calibration_error,calibration_intercept,calibration_slope
raw,walk_forward,2020,256,0.61328125,0.640817320398643,0.22566926122180764,0.07349826316963524,-0.3636220311453449,1.2167870304508057
raw,walk_forward,2021,272,0.5992647058823529,0.6511831270099557,0.22938419729129822,0.07090367055869877,-0.1196199602906833,0.8817449080869176
raw,walk_forward,2022,271,0.6383763837638377,0.6456795369911577,0.22685207846066047,0.06611427302494459,0.08488943389879569,0.958148868860514
raw,walk_forward,2023,272,0.5955882352941176,0.6598472501261703,0.23358877904439718,0.047872682928218425,0.08186656425820579,0.766406749823734
raw,walk_forward,2024,272,0.6507352941176471,0.6311210436524918,0.22077589781945797,0.040087420860175145,-0.07447239900891797,1.1366807328877466
raw,walk_forward,2025,272,0.6213235294117647,0.6402928718031269,0.225129243317598,0.02529764692388887,-0.02767285309122905,0.9963809146142879
raw,fixed_holdout,all,544,0.6360294117647058,0.6357064618669293,0.22295129063273617,0.03026263784514284,-0.05513763646082874,1.0739047829101833
sigmoid,walk_forward,2020,256,0.640625,0.6306640379567366,0.2212642071260359,0.054451289416940746,-0.06628772487732049,1.0847482734659242
sigmoid,walk_forward,2021,272,0.6507352941176471,0.6533136172612234,0.22875018340191464,0.059472585572526736,0.08890321572450008,0.7546159891128614
sigmoid,walk_forward,2022,271,0.6420664206642066,0.6493884880261537,0.2287295909900699,0.06124431724104216,0.1907700094176629,1.0576042721698449
sigmoid,walk_forward,2023,272,0.6139705882352942,0.6581251499098596,0.23283358127495832,0.03305607082811242,0.0212462215083212,0.8081602557622893
sigmoid,walk_forward,2024,272,0.6507352941176471,0.6359660129747425,0.2227990007056137,0.04884405486220239,-0.17919309512873471,1.4310152105900134
sigmoid,walk_forward,2025,272,0.6360294117647058,0.6408242523918569,0.22532197550150215,0.027013687127743314,0.03013361465946301,0.8911688993560426
sigmoid,fixed_holdout,all,544,0.6397058823529411,0.6396807880466489,0.22461952690427148,0.04075521062443684,-0.1532111801000924,1.350248112815618
isotonic,walk_forward,2020,256,0.61328125,0.6305821782117736,0.22209310895108939,0.03387176990665825,-0.0740311557323787,0.7497685645768116
isotonic,walk_forward,2021,272,0.6617647058823529,1.0530473190828626,0.24255372901162395,0.1167238361869535,0.06132329572883837,0.06598420186176909
isotonic,walk_forward,2022,271,0.6162361623616236,0.6625917010641681,0.2340470513748776,0.07622085961283884,0.22895606531327126,0.7172747485931
isotonic,walk_forward,2023,272,0.5919117647058824,0.746778668506938,0.23714292263803644,0.06092509341198569,0.19222920686331169,0.1582851141692389
isotonic,walk_forward,2024,272,0.6286764705882353,0.6791194931346215,0.2247595713710242,0.023174850150529502,-0.00035388858005204525,0.4340823519971272
isotonic,walk_forward,2025,272,0.625,0.6900401899517515,0.22837550787581626,0.051681838312732674,0.07277782548272282,0.4237041583076353
isotonic,fixed_holdout,all,544,0.6158088235294118,0.6584426489614765,0.22525282319103088,0.04059568669941107,-0.030472092356100933,0.6648844475067197
